ref:hmdb,ref:US-TX:thc,name,ErectedBy,hmdb:Latitude,hmdb:Longitude,addr:full,addr:city,addr:county,isMissing
118278,4335,Rodriguez-Chamuscado Expedition - 1581,Texas Historical Commission,31.58532,-106.27304,1521 San Elizario Road,San Elizario,El Paso County,
118279,4502,Salt War,Texas Historical Commission,31.58532,-106.27305,1521 San Elizario Road,San Elizario,El Paso County,
118280,,The First Thanksgiving,"the El Paso Mission Trail Association, Inc., in recognition of the Oñate Expedition and dedicated by Manuel Gullon y Oñate, Conde de Tepa",31.58530,-106.27307,1521 San Elizario Road,San Elizario,El Paso County,
118281,,San Elizario Memorial Plaza,County of El Paso,31.58527,-106.27305,1521 San Elizario Road,San Elizario,El Paso County,
118282,644,The Camino Real,Texas Historical Commission,31.65913,-106.30363,328 South Nevarez Road,Socorro,El Paso County,
118283,642,The Camino Real,Texas Historical Commission,31.76210,-106.50927,1704 W Paisano Dr,El Paso,El Paso County,
118284,4533,San Elizario Chapel,State Historical Survey Committee,31.58496,-106.27311,1556 San Elizario Road,San Elizario,El Paso County,
118293,4532,San Elizario,The State of Texas,31.58504,-106.27332,1521 San Elizario Road,San Elizario,El Paso County,
118294,4501,Salt War,The State of Texas,31.58503,-106.27335,1521 San Elizario Road,San Elizario,El Paso County,
118295,4972,Socorro,The State of Texas,31.65905,-106.30359,328 South Nevarez Road,Socorro,El Paso County,
